semaglutide,1991306,1991316,2200644,2200652,2200656,2398841,2553501,2553601,2553802,2553901,2554102,2599362,2619152,1991311,1991317,2200650,2200654,2200658,2398842,2553506,2553603,2553803,2553903,2554104,2599365,2619154
dulaglutide,1551295,1551304,2395777,2395783,1551300,1551306,2395779,2395785
liraglutide,1860167,897122,1598268,1860172,897126
exenatide,1242963,1990866,847910,847915,1242968,1990869,847913,847917
lixisenatide,1803892,1803894,1858995,1803893,1803896,1859000
tirzepatide,2601743,2601755,2601761,2601767,2601773,2601784,2644396,2644401,2644405,2644409,2644413,2644417,2601746,2601758,2601764,2601770,2601776,2601785,2644399,2644403,2644407,2644411,2644415,2644419,2669706,2669709,2669712,2669715,2669718,2669721,2679317,2679319,2679321,2679323,2679325,2679327
